Designator,Mid X,Mid Y,Rotation,Layer
_12,99.0,-103.4,0.0,top
_11,111.0,-103.4,0.0,top
_10,135.5,-103.4,0.0,top
_9,130.5,-103.4,0.0,top
_8,113.5,-103.4,0.0,top
_7,94.0,-103.4,0.0,top
_6,138.0,-103.4,0.0,top
_5,91.5,-103.4,0.0,top
_4,133.0,-103.4,0.0,top
_3,116.0,-103.4,0.0,top
_2,96.5,-103.4,0.0,top
,118.5,-103.4,0.0,top
C1,148.5,-105.9,0.0,top
C2,151.7,-91.6,0.0,top
C3,151.7,-90.1,180.0,top
C4,151.7,-88.6,180.0,top
D1,78.2,-91.2,180.0,top
F1,145.9,-102.9,270.0,top
J1,153.2,-100.0,90.0,top
J2,77.825,-100.0,180.0,top
R1,151.5,-105.9,0.0,top
R2,151.7,-93.1,0.0,top
R4,78.2,-89.7,180.0,top
R5,78.2,-88.2,180.0,top
SW1,81.5,-89.6,270.0,top
U1,147.8,-90.6,90.0,top
U2,135.228,-102.6,180.0,top
U3,116.2,-97.4,0.0,top
U4,97.228,-102.6,180.0,top
X1,143.1,-89.0,0.0,top
p0.24_3,120.4,-103.4,90.0,bottom
p0.24_2,100.9,-103.4,90.0,bottom
p0.24,139.9,-103.4,90.0,bottom
